2026-02-20 14:17:53,034 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:53,076 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:53,149 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:53,182 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:55,128 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:17:55,168 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:55,250 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:55,288 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:55,336 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:57,276 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:57,315 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:57,354 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:57,385 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:57,417 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:59,376 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:17:59,417 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:59,448 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:59,500 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:17:59,554 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:01,484 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:01,530 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:01,574 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:01,611 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:01,661 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:03,596 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:03,650 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:03,682 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:03,768 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:03,810 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:05,725 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:05,771 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:05,813 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:05,865 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:05,909 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:07,854 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:07,888 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:18:07,974 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:08,011 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:08,061 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:10,021 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:10,061 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:10,090 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:10,115 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:10,185 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:12,086 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:18:12,131 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:18:12,165 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:18:12,198 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:18:12,280 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:18:14,259 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:18:14,311 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:18:14,349 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:18:14,378 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:18:14,414 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:18:16,340 - Score=60, Gaze=Looking Right, Audio=Normal, Objects=['person', 'cell phone'], HeadPose=Straight
2026-02-20 14:18:16,411 - Score=80, Gaze=Looking Right, Audio=Normal, Objects=['person', 'cell phone'], HeadPose=Looking Down
2026-02-20 14:18:16,451 - Score=80, Gaze=Looking Right, Audio=Normal, Objects=['person', 'cell phone'], HeadPose=Looking Down
2026-02-20 14:18:16,481 - Score=80, Gaze=Looking Right, Audio=Normal, Objects=['person', 'cell phone'], HeadPose=Looking Down
2026-02-20 14:18:16,597 - Score=80, Gaze=Looking Right, Audio=Normal, Objects=['person', 'cell phone'], HeadPose=Looking Down
2026-02-20 14:18:18,524 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:18:18,587 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:18:18,614 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:18:18,653 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:18:18,681 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:18:20,684 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:18:20,737 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:18:20,797 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:18:20,830 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:18:20,870 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:19:45,867 - Score=20, Gaze=Looking Right, Audio=Silent, Objects=[], HeadPose=Straight
2026-02-20 14:19:45,941 - Score=20, Gaze=Looking Right, Audio=Silent, Objects=[], HeadPose=Straight
2026-02-20 14:19:45,965 - Score=20, Gaze=Looking Right, Audio=Silent, Objects=[], HeadPose=Straight
2026-02-20 14:19:45,996 - Score=20, Gaze=Looking Right, Audio=Silent, Objects=[], HeadPose=Straight
2026-02-20 14:19:48,272 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:48,323 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:48,371 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:48,430 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:48,465 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:50,413 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:50,461 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:50,496 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:50,543 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:50,649 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:52,584 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:52,630 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:52,669 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:52,699 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:52,731 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:54,682 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:54,734 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:54,779 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:54,845 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:54,887 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:56,796 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:56,847 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:56,912 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:56,946 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:56,991 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:58,981 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:59,012 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:59,046 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:59,089 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:19:59,126 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:01,048 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:01,092 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:01,126 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:01,170 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:01,263 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:03,196 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:03,238 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:03,269 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:03,307 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:03,336 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:05,285 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:05,340 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:05,372 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:05,460 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:20:05,495 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:05,663 - Score=20, Gaze=Looking Right, Audio=Silent, Objects=[], HeadPose=Straight
2026-02-20 14:21:05,731 - Score=20, Gaze=Looking Right, Audio=Silent, Objects=[], HeadPose=Straight
2026-02-20 14:21:05,817 - Score=20, Gaze=Looking Right, Audio=Silent, Objects=[], HeadPose=Straight
2026-02-20 14:21:05,880 - Score=20, Gaze=Looking Right, Audio=Silent, Objects=[], HeadPose=Straight
2026-02-20 14:21:08,775 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:08,810 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:08,852 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:08,902 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:08,926 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:10,896 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:10,937 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:10,960 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:11,002 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:11,038 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:12,953 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:12,998 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:13,029 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:13,071 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:13,104 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:15,046 - Score=20, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Straight
2026-02-20 14:21:15,112 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:21:15,164 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:21:15,226 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:21:15,270 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:21:17,219 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Down
2026-02-20 14:21:17,261 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
2026-02-20 14:21:17,295 - Score=40, Gaze=Looking Right, Audio=Normal, Objects=['person'], HeadPose=Looking Right
